USER1748,Browser749,1,0,0,1,1,1,0,801,801,480,142,319,75,3,472,122,402,5,30877,453,27,14,0,1,801,801,480,142,319,75,3,472,402
USER1759,Browser760,0,0,0,2,1,1,0,2711.5,3527,419,69,307,236,1986,2365,48.5,396.5,11,71217,1061,43.5,14.5,0,2,2124,2763,437,66,431,366,1339,1681,446
USER1770,Browser771,1,0,0,1,1,1,0,765,765,313,68,238,169,213,523,49,313,6,42173,390,38,8,0,1,765,765,313,68,238,169,213,523,313
USER1781,Browser782,2,0,0,2,2,2,0,649,877.5,407,1,166,165,77,483,0,353.5,18,73666,944,48.5,12,0,2,694,700,466,2,229,227,71,521,361
USER1792,Browser793,1,0,0,2,2,2,0,1125,1486.5,531.5,100,551,449,43,417,79.5,294.5,8,102132,989.5,43,11.5,0,2,1453,1866,830,106,722,509,61,715,399
USER1803,Browser804,1,1,0.05,1,1,1,1558,443,479,377,51,58,3,9,385,32,371,12,93630,562,45,10,0,1,443,479,377,51,58,3,9,385,371
USER1814,Browser815,1,0,0,1,1,1,0,418,418,284,56,127,68,6,290,35,293,2,27072,273,24,10,0,1,418,418,284,56,127,68,6,290,293
USER1825,Browser826,0,0,0,2,1,1,42877.5,1371,1717.5,501.5,69,297,197,572.5,1074,46.5,361,21,107564,695.5,32,9,0,2,1630,2234,535,80,317,199,778,1313,442
USER1836,Browser837,1,0,0,1,1,1,0,1847,1847,359,44,1467,1410,22,371,24,372,2,26984,371,28,11,0,1,1847,1847,359,44,1467,1410,22,371,372
USER1847,Browser848,1,0,0,0,1,1,0,985,985,298,145,406,252,282,555,125,308,4,29417,390,28,11,0,1,985,985,298,145,406,252,282,555,308
USER1858,Browser859,2,0,0,1,1,1,0,5324,6019,3769,1127,1462,320,93,3840,1103,434,17,62927,653,39,12,0,1,1778,2739,519,95,241,195,101,599,421
USER1869,Browser870,2,0,0,1,1,1,0,5324,6019,3769,1127,1462,320,93,3840,1103,434,17,62927,653,39,12,0,1,3484,3484,2197,1105,1494,851,13,2194,469
USER1880,Browser881,1,0,0,1,1,1,0,453,536,318,3,113,110,23,337,0,330,9,46646,417,33,8,0,1,453,536,318,3,113,110,23,337,330
USER1891,Browser892,0,0,0,4,1,1,0,677.25,870.25,420.25,45.5,229,113.5,28.25,447.5,23.25,390,19.75,139166.25,778.5,38.25,11,0,4,703,987,479,48,201,113,31,509,418
USER1902,Browser903,2,0,0,2,2,2,0,488,488,324.5,75,151,76,12.5,336,55,314.5,11.5,53249,606.5,41,13.5,0,2,527,527,381,79,165,86,15,388,371
USER1913,Browser914,2,2,0.1,2,2,2,1539.5,414.5,414.5,348,51,61,4,6.5,348,30.5,338,12,93147.5,563,44,10,0,2,420,420,350,52,64,5,11,348,340
USER1924,Browser925,2,0,0,5,2,2,0,926.6,1575.8,527,58.8,311.2,189.4,88.8,608.8,37.2,381.6,11,100656.6,697.6,37.6,9.4,0,5,1126,1395,510,72,356,243,119,691,458
USER1935,Browser936,1,0,0,5,1,1,0,812,1644.6,515.2,50.2,234.6,179.6,63,575.2,29,480.4,15.4,137513.6,784.4,37.8,11.8,0,5,1019,1355,680,51,481,428,98,773,640
USER1946,Browser947,1,0,0,1,1,1,0,1057,1057,311,73,331,257,415,722,51,305,5,47448,459,40,8,0,1,1057,1057,311,73,331,257,415,722,305
USER1957,Browser958,0,0,0,9,4,4,0,927.1111111,1087.888889,390.7777778,4.333333333,457.5555556,453.2222222,79.22222222,467.2222222,0,354.7777778,12.77777778,109225.3333,853,44.11111111,11.44444444,0,9,978,1518,473,3,450,443,170,583,408
USER1968,Browser969,2,0,0,2,1,1,0,544.5,544.5,323,132.5,194.5,62,28,351,112,334.5,4.5,37849,412.5,34,12,0,2,624,624,343,191,254,63,28,371,338
USER1979,Browser980,1,0,0,1,1,1,0,407,407,219,78,155,77,27,245,59,224,6,43689,373,38,8,0,1,407,407,219,78,155,77,27,245,224
USER1990,Browser991,1,0,0,5,3,3,1329552.2,1437.4,1559.6,390.6,89,544,447.4,502.4,890.8,54.2,373.2,20,105897.2,975,41,10.8,0,5,1629,1911,469,75,595,517,902,1227,426
USER2001,Browser1002,0,0,0,2,2,2,0,780.5,2793,344,49,199,148.5,231,562,27.5,333,8,105321,988.5,44,11.5,0,2,872,3576,354,54,269,115,243,583,369
USER2012,Browser1013,0,0,0,1,1,1,0,806,806,410,72,383,310,7,415,52,333,9,62024,482,39,11,0,1,806,806,410,72,383,310,7,415,333
USER2023,Browser1024,1,0,0,1,1,1,0,551,636,443,1,101,100,8,451,0,383,10,50846,472,31,8,0,1,637,637,497,6,101,100,41,538,407
USER2034,Browser1035,1,0,0,1,1,1,1551,398,398,329,49,55,2,15,340,30,347,3,30203,363,31,9,0,1,398,398,329,49,55,2,15,340,347
USER2045,Browser1046,1,0,0,1,1,1,0,6530,6530,563,104,5917,5764,51,556,84,389,6,43091,448,32,12,0,1,6530,6530,563,104,5917,5764,51,556,389
USER2056,Browser1057,0,0,0,1,1,1,0,479,479,350,63,115,52,14,364,43,365,2,27819,347,30,10,0,1,479,479,350,63,115,52,14,364,365
USER2067,Browser1068,2,0,0,1,1,1,0,653,653,283,132,209,77,161,441,109,305,4,32157,479,30,11,0,1,653,653,283,132,209,77,161,441,305
USER2078,Browser1079,0,0,0,7,4,4,104145.2857,1223.714286,2414.571429,652.8571429,134.1428571,538.2857143,378.2857143,33.42857143,682.7142857,112.1428571,475.5714286,16.71428571,141606.8571,900.2857143,44.57142857,12.28571429,0,7,1470,3334,950,227,603,481,36,952,521
USER2089,Browser1090,5,3,4.08,3,1,1,0,1004,1424.25,494.75,1.75,445.25,443,60.5,554.5,0,422,11.75,49388.5,725.5,36,13.25,0,4,1141,1603,509,2,633,629,85,593,436
USER2100,Browser1101,3,0,0,0,2,2,0,1183,1309.333333,328.3333333,102,592,487.6666667,262.6666667,581.3333333,81,338.3333333,13,62589.33333,545.6666667,45,12,0,3,1456,1600,379,147,891,743,300,640,405
USER2111,Browser1112,1,0,0,1,1,1,661028,333,333,265,50,57,4,12,276,31,283,2,28635,345,30,8,0,1,333,333,265,50,57,4,12,276,283
USER2122,Browser1123,1,0,0,1,1,1,116363,341,341,273,51,58,2,10,280,31,292,2,28607,310,30,8,0,1,341,341,273,51,58,2,10,280,292
USER2133,Browser1134,1,0,0,1,1,1,0,1705,1705,284,640,1408,462,14,297,619,293,3,29645,388,24,9,0,1,1705,1705,284,640,1408,462,14,297,293
